Date,Project Name,Client Sector,Square Footage Installed,PET Bottles Diverted,NRC Rating,Production Cost (INR),Sale Price (INR),Lead Source,Status,Profit (INR)
2024-01-04,Harmony Hall,School,300.0,,0.85,120000.0,200000.0,Referral,Complete,80000.0
2024-01-13,Oasis Studios,Studio,120.0,,0.92,55000.0,95000.0,Instagram,Complete,40000.0
2024-02-23,Green Office,Office,240.0,,0.8,90000.0,160000.0,LinkedIn,In Progress,70000.0
2024-03-12,Yuva Classroom,School,180.0,,0.81,70000.0,135000.0,Website,Complete,65000.0
2024-03-21,SilentPod,Office,80.0,,0.88,28000.0,60000.0,Trade Show,Complete,32000.0
2024-04-07,SoundScape,Studio,150.0,,0.95,62000.0,108000.0,Referral,In Progress,46000.0
2024-04-22,Gyaan Hall,School,200.0,,0.78,84000.0,140000.0,LinkedIn,Complete,56000.0
2024-05-05,Tranquil Board,Office,100.0,,0.83,40000.0,70000.0,Architect Network,Complete,30000.0
2024-05-17,Raga Room,Studio,60.0,,0.9,26000.0,52000.0,Instagram,In Progress,26000.0
2024-05-28,Srishti School,School,220.0,,0.8,94000.0,172000.0,Email Campaign,Complete,78000.0
